Continent,Country,Active Cases,Death Rate,Population,Recovery_rate,Serious Or Critical,Total Cases Per 1M Population,Total Confirmed,Total Deaths,Total Deaths Per 1M Population,Total Recovered,Total Tests,Total Tests Per 1M Population
Asia,Saudi Arabia,15601,1.563000088,35632298,95.693484569,117,15959,568650,8888,249,544161,33885624,950981
Africa,Senegal,2015,2.448493633,17409296,94.943834766,5,4439,77272,1892,109,73365,931963,53532
Europe,Serbia,44975,0.968017748,8684184,95.643920133,79,152859,1327455,12850,1480,1269630,7349981,846364
Africa,Seychelles,1818,0.510378975,99267,92.565225671,,264489,26255,134,1350,24303,,
Africa,Sierra Leone,,1.673014146,8221745,,,894,7352,123,15,,259958,31618
Asia,Singapore,4200,0.295324733,5919839,98.217428409,14,47704,282401,834,141,277367,21098774,3564079
North America,Sint Maarten,992,1.261564340,43611,82.052144659,4,136319,5945,75,1720,4878,62056,1422944
Europe,Slovakia,37145,1.969335287,5463638,93.694765287,455,156798,856685,16871,3088,802669,5156380,943763
Europe,Slovenia,25763,1.176544293,2079370,93.443386376,160,230291,478860,5634,2709,447463,2113911,1016611
Australia/Oceania,Solomon Islands,4,,712289,83.333333333,,34,24,,,20,4500,6318
Africa,Somalia,9744,5.502658588,16561760,54.334116483,,1465,24261,1335,81,13182,400466,24180
Africa,South Africa,153397,2.619998993,60437755,92.990577721,546,57823,3494696,91561,1515,3249738,21394263,353988
Asia,South Korea,102441,0.900439283,51335855,83.430815917,882,12736,653792,5887,115,545464,15804065,307856
Africa,South Sudan,2779,0.858098303,11391895,81.607672408,1,1391,15849,136,12,12934,297596,26123
Europe,Spain,1708408,1.297760076,46782142,74.023057679,2005,147972,6922466,89837,1920,5124221,66213858,1415366
Asia,Sri Lanka,13423,2.556167731,21548891,95.168990430,,27383,590063,15083,700,561557,5726599,265749
Asia,State Of Palestine,3396,1.064765289,5280295,98.165557631,57,83560,441224,4698,890,433130,2875118,544500
Africa,Sudan,5218,7.065493315,45393571,81.896259942,,1041,47272,3340,74,38714,562941,12401
South America,Suriname,5085,2.154362901,594571,88.662958682,2,93136,55376,1193,2006,49098,176922,297562
Africa,Swaziland,2869,1.973890808,1178305,93.735887428,11,56754,66873,1320,1120,62684,434821,369022
Europe,Sweden,155754,1.114401785,10194393,87.560233758,115,134904,1375267,15326,1503,1204187,15268363,1497722
Europe,Switzerland,367377,0.856387213,8750225,73.781503555,301,165542,1448527,12405,1418,1068745,14676961,1677324
Asia,Syria,14382,5.781779955,18141867,65.692127655,,2779,50417,2915,161,33120,146269,8063
Asia,Taiwan,412,4.942435167,23881908,92.661937435,,720,17198,850,36,15936,9400772,393636
Asia,Tajikistan,5,0.725358292,9860805,99.245393390,,1734,17095,124,13,16966,,
Africa,Tanzania,,2.421149064,62299375,,7,491,30564,740,12,,,
Asia,Thailand,37968,0.970047879,70064607,97.338915488,588,32045,2245250,21780,311,2185502,17270775,246498
Asia,Timor Leste,11,0.614795404,1356339,99.329772223,,14631,19844,122,90,19711,226374,166901
Africa,Togo,5829,0.771951407,8571395,81.300938029,,3793,32515,251,29,26435,624582,72868
Australia/Oceania,Tonga,0,,107504,100,,9,1,,,1,,
North America,Trinidad And Tobago,15436,3.155615467,1406335,80.460233726,22,66992,94213,2973,2114,75804,520520,370125
Africa,Tunisia,10225,3.493009753,12005377,95.112758887,84,61088,733379,25617,2134,697537,3432826,285941
Asia,Turkey,443619,0.854781234,85709562,94.580702409,1128,113393,9718861,83075,969,9192167,120595094,1407020
North America,Turks And Caicos Islands,312,0.729927007,39508,90.510948905,,90159,3562,26,658,3224,94789,2399236
Africa,Uganda,48375,2.212227464,47918222,65.602357935,84,3137,150301,3325,69,98601,2189299,45688
Europe,UK,3244822,1.066816315,68424733,75.780797306,875,204825,14015065,149515,2185,10620728,416613079,6088633
Europe,Ukraine,91481,2.626412500,43336671,94.893951168,177,85131,3689291,96896,2236,3500914,16898750,389941
Asia,United Arab Emirates,25258,0.279069528,10070841,96.472664047,,77211,777584,2170,215,750156,113888287,11308717
South America,Uruguay,17854,1.452862475,3491918,94.350501603,27,121834,425436,6181,1770,401401,4488971,1285532
North America,USA,15951678,1.451593062,333934783,71.422095323,20938,176098,58805186,853612,2556,41999896,826586018,2475292
Asia,Uzbekistan,1264,0.744334785,34201483,98.622103485,23,5833,199507,1485,43,196758,1377915,40288
Australia/Oceania,Vanuatu,0,14.285714286,317971,85.714285714,,22,7,1,3,6,23000,72334
South America,Venezuela,4832,1.198393466,28314183,97.717420571,681,15741,445680,5341,189,435507,3359014,118634
Asia,Viet Nam,348200,1.841591751,98661349,79.002553197,6257,18424,1817721,33475,339,1436046,75268432,762897
Australia/Oceania,Wallis And Futuna Islands,9,1.541850220,10941,96.475770925,,41495,454,7,640,438,20508,1874417
Africa,Western Sahara,1,10,619489,80,,16,10,1,2,8,,
Asia,Yemen,1123,19.562647754,30816951,69.375492514,23,329,10152,1986,64,7043,265253,8607
Africa,Zambia,33427,1.379853842,19160213,86.424383499,317,14305,274087,3782,197,236878,3024431,157850
Africa,Zimbabwe,24252,2.324509146,15189558,86.604399768,12,14422,219057,5092,335,189713,1871198,123190
